,Unnamed: 0,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents,GVRate,LogPop,LogHousingPrice,LogPopDensity
146,146,al,cusseta,3.0,3.0,0.75,0.75,123.0,55.0,2.620000000000001,2.620000000000001,47.0,21.0,135662.5306122449,4,0.007651841224294596,2.089905111439398,5.132459914016658,1.6720978579357175
485,485,al,uniongrove,1.0,2.0,0.5,1.0,77.0,39.0,0.5700000000000002,0.5599999999999996,138.3999999999999,70.09999999999995,128983.77551020408,2,0.00611153552330023,1.8864907251724818,5.110535085109077,2.141136090120739
620,620,ar,cottonplant,0.0,1.0,0.0,1.0,649.0,455.0,1.0300000000000007,1.0300000000000007,632.2999999999995,443.29999999999967,12535.408163265307,1,0.00036254871748391194,2.812244696800369,4.098138479512256,2.800923181813218
725,725,ar,hensley,1.0,0.0,0.3333333333333333,0.0,139.0,73.0,1.0200000000000011,1.0200000000000011,135.8999999999999,71.40000000000005,156011.48979591837,3,0.0050782903089293275,2.143014800254095,5.193156584067366,2.133219456732494
732,732,ar,hindsville,1.0,0.0,1.0,0.0,61.0,31.0,0.33,0.33,185.6000000000001,94.30000000000008,154903.42857142858,1,0.003857280617164899,1.7853298350107671,5.190061030368461,2.2685779718828436
786,786,ar,lonsdale,1.0,1.0,0.3333333333333333,0.3333333333333333,94.0,46.0,0.42999999999999977,0.42999999999999977,218.39999999999984,106.89999999999998,139834.6530612245,3,0.007509386733416771,1.9731278535996986,5.145614809237687,2.3392526340326993
908,908,ar,rudy,2.0,0.0,1.0,0.0,61.0,28.0,0.06000000000000005,0.06000000000000005,983.4000000000008,451.40000000000015,117992.97959183672,2,0.007714561234329798,1.7853298350107671,5.071856168194028,2.9927302039541432
1027,1027,az,concho,1.0,0.0,1.0,0.0,38.0,36.0,0.4499999999999996,0.4499999999999996,85.30000000000007,80.80000000000007,142086.9387755102,1,0.006191950464396284,1.5797835966168101,5.152554157600721,1.9309490311675235
1090,1090,az,paradisevalley,0.0,1.0,0.0,1.0,12820.0,5643.0,15.460000000000004,15.429999999999987,830.9000000000008,365.70000000000033,1741632.6122448982,1,1.8353675323483528e-05,4.107888025182799,6.240956548316798,2.9195487589688485
1143,1143,az,tonopah,7.0,3.0,0.875,0.375,60.0,30.0,1.3699999999999992,1.3699999999999992,43.90000000000003,22.0,183923.40816326533,8,0.03137254901960784,1.7781512503836436,5.264637005960144,1.6424645202421215
1145,1145,az,topock,1.0,2.0,0.3333333333333333,0.6666666666666666,10.0,31.0,0.25999999999999984,0.25999999999999984,38.5,119.19999999999986,126129.6530612245,3,0.07058823529411765,1.0,5.100817201140218,1.5854607295085006
1172,1172,ca,alamo,0.0,0.0,0.0,0.0,14570.0,5378.0,9.670000000000003,9.670000000000003,1507.1999999999987,556.2999999999996,1787953.530612245,1,1.614921878154144e-05,4.16345955176999,6.252356227177495,3.1781708854488016
1175,1175,ca,alderpoint,3.0,3.0,0.5,0.5,186.0,93.0,2.4300000000000037,2.4300000000000037,76.59999999999994,38.29999999999997,305065.3,6,0.007590132827324478,2.2695129442179165,5.484392811131205,1.8842287696326037
1231,1231,ca,belmont,1.0,3.0,0.25,0.75,25835.0,11028.0,4.629999999999997,4.620000000000003,5590.2000000000035,2386.300000000002,1651337.979591837,4,3.6430287230045875e-05,4.4122084658816805,6.217835969477021,3.747427345872576
1239,1239,ca,beverlyhills,2.0,2.0,0.4,0.4,34109.0,16394.0,5.71,5.71,5975.5,2872.0,2220103.0,5,3.449150043200604e-05,4.532868987045975,6.3463731236821515,3.7763742507341167
1290,1290,ca,campbell,0.0,4.0,0.0,0.5,39349.0,16950.0,5.889999999999992,5.800000000000003,6786.5,2923.3999999999983,1221625.58,8,4.783737683744112e-05,4.5949336998462815,6.086938117971528,3.8316458534289812
1295,1295,ca,canyondam,1.0,0.0,1.0,0.0,31.0,27.0,0.7800000000000006,0.7800000000000006,40.0,34.799999999999976,207966.6530612245,1,0.007590132827324478,1.4913616938342726,5.317993702498606,1.6020599913279623
1354,1354,ca,cortemadera,0.0,3.0,0.0,1.0,9253.0,4026.0,4.4099999999999975,3.1599999999999984,2924.8999999999983,1272.599999999999,1371929.857142857,3,7.628686403773656e-05,3.9662825621674633,6.137331907701255,3.466111022489792
1372,1372,ca,cupertino,1.0,2.0,0.2,0.4,58302.0,21027.0,11.259999999999994,11.259999999999994,5179.5,1868.0,2026807.3265306125,5,2.0178906182211485e-05,4.765683453113483,6.306812465515054,3.7142878374051356
1377,1377,ca,danville,3.0,1.0,0.5,0.16666666666666666,42039.0,15934.0,18.029999999999983,18.029999999999983,2331.899999999998,883.8000000000003,1706093.06,6,3.358226184929121e-05,4.623652376727107,6.232002716363874,3.367709922425149
1383,1383,ca,delmar,0.0,0.0,0.0,0.0,4161.0,2596.0,1.780000000000001,1.709999999999999,2437.899999999998,1521.0,1631039.244897959,1,5.654749282553684e-05,3.6191977157929474,6.212464410848723,3.38701588736157
