,Unnamed: 0,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents,GVRate,LogPop,LogHousingPrice,LogPopDensity
1414,1414,ca,eastlosangeles,1.0,0.0,1.0,0.0,126496.0,32201.0,7.449999999999991,7.449999999999991,169.83199999999985,4323.2999999999965,436.9128775510204,1,0.0018600913676879807,5.102076792662877,5.640394845274753,4.230019524035448
1547,1547,ca,huntingtonpark,4.0,4.0,0.6666666666666666,0.6666666666666666,58114.0,15151.0,3.0200000000000005,3.01,192.9069999999998,5029.299999999996,414.67753061224494,6,0.02429302243663064,4.764280769056757,5.617710503665229,4.285347987136966
2465,2465,ct,bridgeport,108.0,676.0,0.09045226130653268,0.5661641541038526,144229.0,57012.0,19.340000000000128,15.969999999999914,90.29,3569.100000000059,179.49114070351763,1194,1.9478827175574138,5.159052592378582,5.254043017602207,3.955639653023252
2517,2517,ct,hartford,168.0,512.0,0.14685314685314685,0.4475524475524476,124775.0,51822.0,18.06000000000014,17.37999999999989,71.7890000000015,2981.600000000059,103.24179195804196,1144,2.157294895517814,5.09612757853816,5.013855533945597,3.85605790377876
2549,2549,ct,newhaven,88.0,436.0,0.11027568922305764,0.5463659147869674,129779.0,54967.0,20.120000000000342,18.68000000000019,69.48,2942.8000000000093,164.15547368421053,798,1.446803457280091,5.113204423419937,5.215255368644493,3.841859809775061
2691,2691,de,wilmington,113.0,541.0,0.13933415536374846,0.6670776818742293,70851.0,32820.0,16.950000000000223,10.899999999999835,64.97599999999977,3009.899999999954,200.38297163995068,811,2.6933074961788077,4.850345984314136,5.30186081281886,3.8127529721459603
2858,2858,fl,fortmyers,87.0,180.0,0.2295514511873351,0.474934036939314,62298.0,35138.0,48.97999999999968,39.95999999999962,15.59099999999989,879.4000000000017,213.4990343007916,379,1.4314499757333348,4.794474104397434,5.329395914963919,3.192873971542519
4765,4765,ia,waterloo,17.0,102.0,0.035789473684210524,0.2147368421052632,68406.0,30723.0,63.22999999999963,61.38999999999962,11.142999999999924,500.5,98.19264210526316,475,1.6338436084897954,4.835094196056521,4.992078945905035,3.0470021305185027
5864,5864,il,peoria,39.0,285.0,0.04318936877076412,0.3156146179401993,115007.0,52621.0,50.23000000000062,48.00999999999997,23.9560000000004,1096.099999999984,88.57763565891473,903,1.8474578785229956,5.060724274865381,4.947324083783571,3.3794143044121783
6377,6377,in,gary,160.0,309.0,0.3411513859275053,0.6588486140724946,80294.0,39531.0,57.18000000000023,49.86999999999993,16.101999999999915,792.7999999999932,36.421880597014926,469,1.3743609880747079,4.9046830936691235,4.561362366275497,3.2068798223062975
7853,7853,la,neworleans,694.0,1854.0,0.22679738562091506,0.6058823529411764,343829.0,189896.0,350.2099999999855,169.41999999999481,20.294000000000764,1120.7999999999479,230.80626470588234,3060,2.094064200518281,5.536342504139346,5.363247592569791,3.3073676560385485
7994,7994,ma,cambridge,7.0,14.0,0.2258064516129032,0.4516129032258064,105162.0,47291.0,7.110000000000008,6.389999999999992,164.69099999999983,7406.099999999993,791.3741355932204,31,0.06936077335024841,5.021858837045434,5.8983818521560645,4.216669866582415
8218,8218,ma,somerville,2.0,1.0,0.3333333333333333,0.16666666666666666,75754.0,33720.0,4.22,4.120000000000003,184.0390000000001,8192.099999999995,692.3486530612245,6,0.018636173745047824,4.87940556961082,5.840324851636829,4.264909864803247
9195,9195,mi,flint,158.0,361.0,0.25119236883942764,0.5739268680445151,102434.0,51321.0,34.0499999999996,33.41999999999967,30.653999999999666,1535.8000000000168,20.15546899841017,629,1.4448327703692134,5.0104441320454605,4.304392908222227,3.4864871530659025
13235,13235,nj,eastorange,20.0,16.0,0.625,0.5,64270.0,28803.0,3.919999999999995,3.919999999999995,163.77099999999982,7339.5,200.62728333333334,32,0.11715282036262459,4.8080082999104,5.302389992470064,4.214237000873679
13319,13319,nj,hoboken,1.0,4.0,0.08333333333333333,0.3333333333333333,50005.0,26855.0,2.0100000000000007,1.2800000000000007,392.12,21058.69999999998,726.6558269230769,12,0.05646494174112001,4.699013431612881,5.861328760431816,4.593418993965913
13330,13330,nj,jerseycity,73.0,306.0,0.1200657894736842,0.5032894736842105,247597.0,108720.0,21.079999999999934,14.790000000000047,167.36599999999808,7349.100000000038,464.77727467105257,608,0.5777890020049183,5.393745378266744,5.667244885031495,4.2236672367389385
13463,13463,nj,passaic,5.0,24.0,0.16666666666666666,0.8,69781.0,20432.0,3.240000000000001,3.150000000000003,221.796,6494.200000000006,300.5966785714286,30,0.10115681244768296,4.843737188834793,5.4779841775613685,4.345953709560697
13464,13464,nj,paterson,68.0,279.0,0.12710280373831775,0.5214953271028038,146199.0,47946.0,8.699999999999914,8.429999999999959,173.46299999999957,5688.700000000035,238.63733457943925,535,0.8610342953178646,5.164944402061191,5.377738389600125,4.2392068531356975
13568,13568,nj,trenton,92.0,476.0,0.12234042553191488,0.6329787234042553,84913.0,33035.0,8.159999999999915,7.649999999999942,111.01900000000151,4319.200000000045,55.76508909574468,752,2.0837937238183577,4.928974184897198,4.746362400408234,4.045397311120169
13571,13571,nj,unioncity,0.0,4.0,0.0,0.5714285714285714,66455.0,24931.0,1.2800000000000005,1.2800000000000005,518.1010000000005,19436.900000000016,381.088588235294,7,0.024784573373401727,4.822527662339968,5.581025943942346,4.714414430530825
