,State,County,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,LandArea,PopDensity,HousingPrice,NumIncidents,NumCities
in-union,in,union,0.0,0.0,0.0,0.0,2809.0,1240.0,1.1299999999999992,2485.8407079646036,102760.90306122447,1,2
in-daviess,in,daviess,1.0,0.0,0.1,0.0,14457.0,6495.0,7.409999999999998,1951.0121457489884,78294.3759972349,10,6
ga-jenkins,ga,jenkins,2.0,1.0,0.6666666666666666,0.3333333333333333,3211.0,1574.0,5.65,568.3185840707964,57282.1440759277,3,2
or-wasco,or,wasco,1.0,3.0,0.16666666666666666,0.5,15511.0,6970.0,19.539999999999996,793.8075742067556,222486.53348754137,6,8
or-deschutes,or,deschutes,10.0,10.0,0.2702702702702703,0.2702702702702703,106545.0,49126.0,58.64999999999999,1816.6240409207164,385068.3818404291,37,4
wi-wood,wi,wood,5.0,12.0,0.06756756756756757,0.16216216216216217,35219.16666666667,16643.166666666664,157.77499999999998,223.2240004225427,120258.83980413822,74,12
sc-berkeley,sc,berkeley,85.0,133.0,0.2777777777777778,0.434640522875817,183410.0,84899.0,172.09999999999968,1065.7176060430002,276759.4712891121,306,7
ia-hancock,ia,hancock,1.0,0.0,0.5,0.0,7284.0,3465.0,8.409999999999998,866.1117717003569,95543.75261654446,2,8
ks-linn,ks,linn,0.0,0.0,,,4679.0,2537.0,8.259999999999998,566.4648910411623,87517.81679309484,0,7
wi-washburn,wi,washburn,2.0,0.0,0.5,0.0,6188.0,4533.5,176.95000000000007,34.970330601864916,163852.50992723106,4,7
ut-uintah,ut,uintah,7.0,9.0,0.35,0.45,16080.0,6015.0,35.49000000000001,453.0853761622991,209461.29479290172,20,7
ok-ellis,ok,ellis,0.0,0.0,,,2686.0,1415.0,3.6500000000000012,735.8904109589039,63634.21139395687,0,4
mn-swift,mn,swift,0.0,1.0,0.0,0.5,6157.0,3175.0,11.249999999999996,547.288888888889,96454.47214526754,2,8
or-lincoln,or,lincoln,2.0,4.0,0.2222222222222222,0.4444444444444444,26717.0,16683.0,23.00000000000001,1161.6086956521733,272020.85923125944,9,7
in-ripley,in,ripley,3.0,3.0,0.375,0.375,13919.0,5972.0,14.180000000000003,981.5937940761634,160855.12718878573,8,7
vt-addison,vt,addison,0.0,8.0,0.0,0.1095890410958904,34362.0,15619.0,734.6650000000001,46.77233841274594,248589.83037637785,73,22
