,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents
0,ak,anchorage,106.0,183.0,0.23296703296703297,0.4021978021978022,291826.0,113032.0,1961.0,1704.6800000000126,171.19999999999854,66.2999999999995,309582.9846153846,455
1,ak,anchorpoint,1.0,4.0,0.1111111111111111,0.4444444444444444,1930.0,1239.0,91.97999999999996,91.77000000000004,21.0,13.5,162404.78,9
2,ak,beluga,0.0,0.0,,,20.0,53.0,100.82000000000001,100.09000000000007,0.19999999999999996,0.5,104507.30612244898,0
3,ak,biglake,1.0,1.0,0.25,0.25,3350.0,2780.0,128.75,116.10999999999993,28.900000000000013,23.9,160654.9387755102,4
4,ak,clamgulch,0.0,0.0,,,176.0,160.0,13.35000000000001,13.339999999999996,13.200000000000003,12.0,180638.89795918367,0
5,ak,cooperlanding,0.0,0.0,,,289.0,395.0,69.84999999999995,65.76000000000008,4.400000000000003,6.0,336391.9387755102,0
6,ak,cordova,0.0,0.0,,,2239.0,1100.0,75.65999999999995,59.969999999999956,37.29999999999997,18.299999999999983,281122.32653061225,0
7,ak,diamondridge,0.0,0.0,,,1156.0,647.0,42.38000000000005,42.36999999999995,27.29999999999998,15.299999999999992,251629.04081632654,0
8,ak,fairbanks,35.0,32.0,0.16355140186915887,0.14953271028037382,31535.0,13056.0,32.529999999999944,31.689999999999873,995.0,412.0,225816.05140186916,214
9,ak,foxriver,0.0,0.0,,,685.0,274.0,128.27999999999997,125.39000000000009,5.5,2.2000000000000015,156560.8775510204,0
10,ak,glennallen,0.0,0.0,0.0,0.0,483.0,336.0,115.60000000000005,115.06999999999996,4.199999999999997,2.900000000000002,165476.95918367346,1
11,ak,haines,0.0,2.0,0.0,0.5,1713.0,902.0,20.63,13.200000000000003,129.8000000000001,68.30000000000005,217815.22448979592,4
12,ak,halibutcove,0.0,0.0,,,76.0,161.0,11.490000000000004,8.319999999999995,9.100000000000009,19.399999999999984,234134.6530612245,0
13,ak,homer,1.0,0.0,0.3333333333333333,0.0,5003.0,2692.0,26.80999999999997,13.830000000000005,361.7999999999997,194.7,254819.693877551,3
14,ak,hope,0.0,0.0,0.0,0.0,192.0,197.0,51.78999999999997,51.71999999999998,3.699999999999998,3.800000000000002,144850.85714285713,1
15,ak,houston,1.0,0.0,0.5,0.0,1912.0,973.0,23.570000000000014,22.399999999999995,85.40000000000005,43.400000000000034,205029.0,2
16,ak,kasilof,2.0,0.0,0.2857142857142857,0.0,549.0,271.0,10.629999999999997,10.430000000000005,52.69999999999999,26.0,195655.8775510204,7
17,ak,kenai,4.0,1.0,0.6666666666666666,0.16666666666666666,7100.0,3166.0,35.410000000000025,28.589999999999982,248.29999999999984,110.69999999999992,216358.306122449,6
18,ak,ketchikan,4.0,0.0,0.25,0.0,8050.0,3731.0,5.8999999999999995,4.349999999999997,1849.5,857.1999999999997,239554.86274509804,16
19,ak,knikfairview,0.0,0.0,,,14923.0,5535.0,84.2600000000001,83.09999999999994,179.60000000000014,66.59999999999995,268674.5306122449,0
20,ak,kodiak,2.0,0.0,0.11764705882352941,0.0,6130.0,2178.0,5.039999999999999,3.4900000000000015,1758.0,624.5999999999993,309621.8113207547,17
21,ak,meadowlakes,0.0,0.0,,,7570.0,3239.0,78.46000000000002,75.21999999999991,100.60000000000001,43.099999999999966,233187.04081632654,0
22,ak,moosepass,0.0,0.0,0.0,0.0,219.0,137.0,17.88,17.71000000000001,12.39999999999999,7.699999999999993,177202.4081632653,1
23,ak,nanwalek,0.0,0.0,,,254.0,73.0,8.399999999999993,8.379999999999997,30.299999999999972,8.699999999999994,120821.12244897959,0
24,ak,ninilchik,1.0,1.0,0.2,0.2,883.0,967.0,207.20999999999984,207.18000000000015,4.300000000000003,4.699999999999996,141900.5306122449,5
25,ak,nome,0.0,0.0,0.0,0.0,3598.0,1503.0,21.62,12.629999999999997,284.8,119.0,351853.15625,1
26,ak,northpole,4.0,5.0,0.13333333333333333,0.16666666666666666,2117.0,916.0,4.180000000000005,4.169999999999995,508.0,219.79999999999984,251667.42372881356,30
27,ak,palmer,8.0,6.0,0.25806451612903225,0.1935483870967742,5937.0,2281.0,5.15,5.15,1152.0999999999992,442.5999999999997,295165.1403508772,31
28,ak,petersburg,0.0,1.0,0.0,1.0,2948.0,1356.0,45.63000000000005,44.13000000000005,66.80000000000005,30.700000000000028,223486.6530612245,1
29,ak,pointmackenzie,0.0,0.0,,,529.0,257.0,154.96,152.4799999999998,3.5,1.7000000000000013,178486.10204081633,0
30,ak,portgraham,0.0,0.0,,,177.0,108.0,6.389999999999993,6.389999999999993,27.70000000000002,16.899999999999988,104666.91836734694,0
31,ak,portlions,0.0,0.0,,,194.0,113.0,10.06,6.379999999999996,30.400000000000016,17.700000000000017,146827.73469387754,0
32,ak,salcha,0.0,0.0,0.0,0.0,1095.0,585.0,75.94000000000004,73.96999999999991,14.799999999999992,7.899999999999995,136984.73469387754,1
33,ak,saxman,0.0,0.0,,,411.0,128.0,0.9799999999999992,0.9799999999999992,420.9000000000001,131.10000000000008,241058.6530612245,0
34,ak,seldovia,0.0,0.0,,,255.0,218.0,0.5599999999999996,0.3699999999999998,697.4000000000005,596.2000000000005,166234.26530612246,0
35,ak,seward,3.0,1.0,0.3,0.1,2693.0,1124.0,21.54999999999998,14.11000000000001,190.79999999999998,79.59999999999994,224983.42307692306,10
36,ak,soldotna,2.0,3.0,0.1,0.15,4163.0,1968.0,7.329999999999998,6.899999999999997,603.7000000000005,285.39999999999975,238091.98113207548,20
37,ak,sterling,2.0,0.0,0.4,0.0,5617.0,3347.0,79.63999999999997,77.7600000000001,72.19999999999993,43.0,241007.693877551,5
38,ak,talkeetna,2.0,0.0,2.0,0.0,876.0,744.0,29.779999999999976,26.78999999999998,32.700000000000024,27.79999999999998,150606.83673469388,1
39,ak,tanaina,0.0,0.0,,,8197.0,2879.0,30.859999999999975,30.380000000000035,269.7999999999998,94.80000000000008,279250.32653061225,0
40,ak,trappercreek,0.0,0.0,0.0,0.0,481.0,499.0,327.8400000000001,319.87000000000035,1.5,1.5999999999999996,115550.83673469388,2
41,ak,valdez,0.0,0.0,0.0,0.0,3976.0,1763.0,275.8799999999997,216.23999999999987,18.399999999999984,8.199999999999994,266480.9387755102,1
42,ak,wasilla,18.0,15.0,0.16216216216216217,0.13513513513513514,7831.0,3277.0,13.079999999999984,12.380000000000035,632.3999999999999,264.5999999999994,282144.416,111
43,ak,willow,0.0,4.0,0.0,0.5,2102.0,1912.0,699.4900000000006,690.9000000000005,3.0,2.7999999999999994,140546.96,8
44,ak,womensbay,0.0,0.0,,,719.0,298.0,44.02999999999999,43.910000000000025,16.399999999999988,6.800000000000005,345923.0612244898,0
45,al,abbeville,1.0,1.0,0.5,0.5,2688.0,1255.0,15.58000000000001,15.539999999999992,172.89999999999986,80.69999999999993,81457.20408163265,2
46,al,adamsville,1.0,6.0,0.1111111111111111,0.6666666666666666,4522.0,1990.0,25.140000000000008,25.130000000000017,180.0,79.19999999999993,83660.92,9
47,al,addison,0.0,0.0,,,758.0,351.0,3.800000000000002,3.7700000000000022,201.29999999999998,93.19999999999992,83970.42857142857,0
48,al,akron,0.0,0.0,,,356.0,205.0,0.6900000000000004,0.6900000000000004,518.5,298.60000000000025,82096.0612244898,0
49,al,alabaster,1.0,1.0,0.25,0.25,30352.0,11295.0,25.330000000000002,25.03999999999998,1212.0,451.0,166518.83673469388,4
